net,length_um
net36,2.194365mm
_0383_,1.051415mm
clknet_0_clk,720.8µm
_0553_,420.18µm
_0911_,362.12µm
clknet_3_6__leaf_clk,361.91µm
_0912_,350.65µm
clknet_3_2__leaf_clk,337.54µm
Encode_EN,325.68µm
_0187_,310.53µm
OpSel_reg\[0\],301.09µm
clknet_3_0__leaf_clk,297.08µm
clknet_3_3__leaf_clk,295.36µm
clknet_3_1__leaf_clk,283.2µm
a_r3\[3\],267.755µm
clknet_3_7__leaf_clk,267.68µm
_0910_,260.665µm
clk,247.95µm
_0185_,237.58µm
B_reg\[1\],232.38µm
_0188_,232.14µm
clknet_3_4__leaf_clk,218.12µm
clknet_3_5__leaf_clk,214.08µm
B_reg\[2\],213.89µm
A_reg\[0\],207.86µm
B_reg\[4\],198.72µm
CRT_Start,192.11µm
_0186_,189.78µm
A_reg\[1\],189.16µm
net34,187.92µm
A_reg\[9\],187.8µm
net33,186.5µm
A_reg\[10\],185.05µm
A_reg\[11\],183.245µm
A_reg\[6\],176.84µm
B_reg\[5\],171.66µm
A_reg\[3\],169.6µm
A_reg\[2\],168.2µm
A_reg\[7\],164.775µm
_0184_,163.05µm
net370,162.06µm
B_reg\[3\],158.435µm
a_r3\[0\],157.965µm
A_reg\[8\],157.365µm
b_r1\[0\],157µm
a_r3\[1\],153.545µm
A_reg\[4\],152.45µm
_0554_,152.12µm
net17,140.72µm
B_reg\[8\],140.295µm
B_reg\[6\],138.7µm
net78,138.38µm
a_r1\[0\],136.23µm
A_reg\[13\],135.94µm
a_r2\[0\],133.78µm
B_reg\[7\],128.315µm
a_r3\[2\],128.18µm
net9,120.56µm
net10,119.38µm
_0604_,116.86µm
net11,114.98µm
net8,114µm
net99,112.295µm
net76,111.98µm
b_r3\[1\],111.7µm
_0574_,106.71µm
net37,106.42µm
A_reg\[5\],104.88µm
net12,104.14µm
_0564_,100.63µm
_0892_,100.23µm
net77,99.94µm
B_reg\[0\],98.72µm
A_reg\[15\],98.515µm
_0580_,97.495µm
b_r2\[2\],95.83µm
B_reg\[9\],95.14µm
net368,94.64µm
net35,94.44µm
b_r1\[2\],94.24µm
_1354_,94.18µm
a_r1\[2\],93.83µm
b_r3\[3\],93.72µm
_0889_,93.28µm
_0902_,92.86µm
a_r1\[1\],92.64µm
b_r0\[0\],91.39µm
_0903_,90.94µm
_0628_,90.78µm
_0890_,89.51µm
_0778_,89.5µm
_0900_,88.08µm
_0743_,87.125µm
_0901_,86.9µm
net13,84.58µm
B_reg\[11\],84.3µm
_0894_,83.54µm
_0899_,83.44µm
_0573_,83.34µm
net1,83.34µm
_0732_,83.3µm
_0891_,83.08µm
OpSel_reg\[1\],81.36µm
net85,80.66µm
b_r2\[0\],80.38µm
_0907_,79.88µm
_1387_,78.08µm
A_reg\[12\],77.54µm
A_reg\[14\],77µm
u_crt.start_d,76.56µm
b_r3\[0\],76.32µm
_1352_,76.06µm
b_r0\[1\],76.01µm
_0561_,75.74µm
_0673_,74.96µm
net52,73.88µm
_0469_,73.8µm
a_r2\[1\],73.48µm
net54,73.34µm
_1546_,73.06µm
B_reg\[10\],72.24µm
b_r2\[1\],71.73µm
_0624_,71.3µm
B_reg\[12\],69.67µm
X_crt\[4\],69.44µm
_0803_,68.16µm
_0909_,67.34µm
_1159_,65.76µm
net375,64.96µm
a_r2\[2\],64.89µm
_0234_,63.62µm
_0858_,63.36µm
b_r1\[1\],63.14µm
net83,62.42µm
_0422_,62.22µm
_0579_,62.2µm
_0387_,61.28µm
_0848_,60.24µm
net86,59.7µm
_0798_,59.185µm
_0888_,58.9µm
_0571_,58.58µm
_0790_,58.02µm
a_r0\[0\],57.92µm
B_reg\[13\],57.54µm
net58,57.1µm
_0307_,57.03µm
_0777_,56.96µm
net55,56.4µm
_1160_,56.2µm
B_reg\[14\],55.66µm
B_reg\[15\],55.485µm
_1388_,55.14µm
_0904_,54.47µm
net28,54.36µm
net62,54.36µm
_1544_,53.76µm
_0607_,53.08µm
_0623_,52.935µm
_0232_,52.42µm
_0612_,52.38µm
_0453_,52.04µm
_1343_,51.96µm
_1315_,51.92µm
_0767_,51.82µm
_0563_,51.8µm
_0854_,51.78µm
CU_state_dbg\[1\],51.49µm
_0841_,51.46µm
_1324_,51.22µm
_0897_,50.42µm
_0111_,50.4µm
_0722_,49.84µm
_0850_,49.18µm
u_crt.r3\[2\],48µm
u_crt.r3\[0\],47.7µm
_0974_,47.32µm
_1186_,47.3µm
_0908_,45.52µm
CU_state_dbg\[2\],45.38µm
a_r0\[1\],45.02µm
u_crt.r1\[1\],44.86µm
_0268_,44.5µm
_0724_,44.35µm
_0905_,44.34µm
_0799_,44.22µm
_1011_,43.6µm
_0688_,42.74µm
_1336_,42.68µm
_1332_,42.56µm
_0914_,42.43µm
_1156_,41.68µm
_0923_,41.48µm
X_crt\[9\],41.34µm
_0216_,41.3µm
_0706_,41.26µm
_0847_,41.26µm
u_crt.r3\[3\],41.2µm
_0586_,40.95µm
_1415_,40.02µm
u_crt.r2\[0\],39.995µm
net56,39.82µm
_1356_,39.8µm
_0681_,39.7µm
_1155_,39.52µm
_0175_,39.08µm
_0436_,39.02µm
_1586_,39µm
_1176_,38.94µm
_0566_,38.71µm
_0611_,38.635µm
_1021_,38.32µm
_1500_,38.32µm
_0613_,38.3µm
_0423_,38.28µm
_1322_,38.22µm
_0411_,38µm
_1592_,37.98µm
_1207_,37.92µm
_0122_,37.8µm
_0826_,37.78µm
_0895_,37.42µm
_0906_,37.28µm
_0108_,37.24µm
_1452_,37.2µm
_1431_,37.06µm
u_crt.r3\[1\],37µm
_0409_,36.98µm
_0420_,36.66µm
_0977_,36.56µm
_0384_,36.5µm
b_r3\[2\],36.46µm
_0872_,36.42µm
u_crt.r2\[1\],36.36µm
_0393_,36.28µm
_0575_,36.14µm
_0972_,36.02µm
_1474_,36.02µm
_0341_,35.93µm
_1071_,35.83µm
_0558_,35.78µm
_1090_,35.54µm
_0815_,35.155µm
net29,35.12µm
_1570_,35.02µm
_1134_,34.965µm
_0827_,34.93µm
_1199_,34.3µm
_1307_,34.17µm
net4,33.62µm
_0105_,33.46µm
_0834_,33.32µm
_0435_,33.28µm
_0143_,33.22µm
_0461_,33.2µm
_1190_,33.125µm
_0306_,33.1µm
_0408_,33.04µm
_0258_,33.02µm
_1555_,33µm
_1495_,32.7µm
_1584_,32.56µm
_1050_,32.445µm
_0338_,32.4µm
_0321_,32.375µm
_1168_,32.22µm
_0142_,32.08µm
_1496_,32.03µm
u_crt.r2\[2\],32µm
_0622_,31.92µm
net23,31.78µm
net51,31.78µm
X_crt\[5\],31.62µm
