Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/work/runs/RUN_2026-03-17_14-05-48/30-openroad-cts/rns_top_crt.odb'…
Reading design constraints file at 'designs/_shared/ll_policy/constraints.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0094] Found 39 endpoints with setup violations.
[INFO RSZ-0099] Repairing 39 out of 39 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
        0 |       0 |       0 |        0 |      0 |     0 |  -12.003 |     -245.8 |     39 | _3238_/D
       10 |       0 |       2 |        9 |      0 |     1 |  -11.185 |     -243.8 |     39 | _3238_/D
       20 |       0 |       9 |        9 |      0 |     4 |  -10.215 |     -239.9 |     39 | _3238_/D
       30 |       0 |      13 |       15 |      0 |     7 |   -9.650 |     -238.3 |     39 | _3238_/D
       40 |       0 |      14 |       19 |      0 |    14 |   -9.408 |     -237.3 |     39 | _3238_/D
       50 |       0 |      14 |       21 |      0 |    23 |   -9.823 |     -238.9 |     39 | _3238_/D
       60 |       0 |      16 |       25 |      0 |    29 |  -10.034 |     -239.8 |     39 | _3237_/D
       67 |       0 |      16 |       24 |      0 |    18 |   -9.368 |     -237.2 |     39 | _3238_/D
       70 |       0 |      17 |       26 |      0 |    18 |   -9.257 |     -236.7 |     39 | _3238_/D
       73 |       0 |      19 |       28 |      0 |    18 |   -9.218 |     -237.0 |     39 | _3238_/D
       77 |       0 |      19 |       28 |      0 |    18 |   -9.218 |     -237.0 |     39 | _3238_/D
       80 |       0 |      21 |       28 |      0 |    18 |   -9.225 |     -236.6 |     39 | _3238_/D
       81 |       0 |      20 |       28 |      0 |    18 |   -9.218 |     -237.0 |     39 | _3238_/D
       90 |       0 |      23 |       31 |      0 |    20 |   -9.218 |     -237.0 |     39 | _3238_/D
      100 |       0 |      27 |       36 |      0 |    24 |   -9.218 |     -235.2 |     39 | _3238_/D
      110 |       0 |      32 |       43 |      0 |    24 |   -9.218 |     -234.7 |     39 | _3238_/D
      120 |       0 |      39 |       43 |      0 |    27 |   -9.218 |     -233.9 |     39 | _3238_/D
      130 |       0 |      42 |       45 |      0 |    33 |   -9.218 |     -233.6 |     39 | _3238_/D
      140 |       0 |      45 |       49 |      0 |    38 |   -9.218 |     -233.1 |     39 | _3238_/D
      150 |       0 |      49 |       53 |      0 |    42 |   -9.218 |     -232.9 |     39 | _3238_/D
      160 |       0 |      55 |       55 |      0 |    45 |   -9.218 |     -232.9 |     39 | _3238_/D
      170 |       0 |      61 |       63 |      0 |    46 |   -9.218 |     -231.8 |     39 | _3238_/D
      180 |       0 |      69 |       66 |      0 |    47 |   -9.218 |     -231.2 |     39 | _3238_/D
      190 |       0 |      74 |       71 |      0 |    49 |   -9.218 |     -233.0 |     39 | _3238_/D
      200 |       0 |      80 |       74 |      0 |    52 |   -9.218 |     -232.6 |     39 | _3238_/D
      200 |       0 |      80 |       74 |      0 |    52 |   -9.218 |     -232.6 |     39 | _3238_/D
      210 |       0 |      84 |       80 |      0 |    54 |   -9.218 |     -233.1 |     39 | _3238_/D
      213 |       0 |      87 |       80 |      0 |    54 |   -9.218 |     -232.9 |     39 | _3238_/D
      217 |       0 |      88 |       80 |      0 |    55 |   -9.218 |     -232.9 |     39 | _3238_/D
      220 |       0 |      88 |       80 |      0 |    57 |   -9.218 |     -233.0 |     39 | _3238_/D
      220 |       0 |      88 |       80 |      0 |    55 |   -9.218 |     -232.9 |     39 | _3238_/D
      230 |       0 |      94 |       80 |      0 |    58 |   -9.218 |     -230.4 |     39 | _3238_/D
      240 |       0 |     100 |       83 |      0 |    61 |   -9.218 |     -227.5 |     39 | _3238_/D
      250 |       0 |     106 |       85 |      0 |    64 |   -9.218 |     -226.8 |     39 | _3238_/D
      260 |       0 |     113 |       88 |      0 |    66 |   -9.218 |     -224.5 |     39 | _3238_/D
      270 |       0 |     118 |       91 |      0 |    70 |   -9.218 |     -221.9 |     39 | _3238_/D
      280 |       0 |     124 |       93 |      0 |    73 |   -9.218 |     -219.6 |     39 | _3238_/D
      290 |       0 |     129 |       97 |      0 |    76 |   -9.218 |     -218.3 |     39 | _3238_/D
      300 |       0 |     133 |      103 |      0 |    79 |   -9.218 |     -218.8 |     39 | _3238_/D
      310 |       0 |     135 |      111 |      0 |    83 |   -9.218 |     -220.0 |     39 | _3238_/D
      320 |       0 |     139 |      119 |      0 |    85 |   -9.218 |     -222.1 |     39 | _3238_/D
      330 |       0 |     148 |      119 |      0 |    86 |   -9.218 |     -220.2 |     39 | _3238_/D
      340 |       0 |     157 |      121 |      0 |    86 |   -9.218 |     -219.9 |     39 | _3238_/D
      341 |       0 |     131 |      109 |      0 |    77 |   -9.218 |     -218.3 |     39 | _3238_/D
      350 |       0 |     137 |      111 |      0 |    78 |   -9.218 |     -217.0 |     39 | _3238_/D
      360 |       0 |     145 |      113 |      0 |    79 |   -9.218 |     -216.1 |     39 | _3238_/D
      370 |       0 |     152 |      116 |      0 |    81 |   -9.218 |     -215.4 |     39 | _3238_/D
      380 |       0 |     162 |      116 |      0 |    81 |   -9.230 |     -214.3 |     39 | _3238_/D
      390 |       0 |     171 |      118 |      0 |    81 |   -9.230 |     -213.4 |     39 | _3238_/D
      400 |       0 |     178 |      118 |      0 |    84 |   -9.230 |     -213.2 |     39 | _3238_/D
      410 |       0 |     182 |      122 |      0 |    88 |   -9.230 |     -213.2 |     39 | _3238_/D
      420 |       0 |     189 |      122 |      0 |    91 |   -9.240 |     -213.4 |     39 | _3238_/D
      426 |       0 |     163 |      120 |      0 |    81 |   -9.218 |     -214.3 |     39 | _3238_/D
      430 |       0 |     164 |      124 |      0 |    81 |   -9.218 |     -215.6 |     39 | _3238_/D
      440 |       0 |     170 |      132 |      0 |    81 |   -9.218 |     -216.3 |     39 | _3238_/D
      450 |       0 |     176 |      138 |      0 |    82 |   -9.218 |     -214.7 |     39 | _3238_/D
      460 |       0 |     180 |      138 |      0 |    88 |   -9.218 |     -214.1 |     39 | _3238_/D
      470 |       0 |     187 |      138 |      0 |    91 |   -9.218 |     -214.0 |     39 | _3238_/D
      480 |       0 |     196 |      140 |      0 |    91 |   -9.218 |     -215.4 |     39 | _3238_/D
      490 |       0 |     197 |      146 |      0 |    97 |   -9.218 |     -216.2 |     39 | _3238_/D
      492 |       0 |     196 |      142 |      0 |    91 |   -9.218 |     -213.5 |     39 | _3238_/D
      500 |       0 |     200 |      146 |      0 |    92 |   -9.218 |     -215.4 |     39 | _3238_/D
      504 |       0 |     199 |      145 |      0 |    92 |   -9.218 |     -213.0 |     39 | _3238_/D
      510 |       0 |     201 |      151 |      0 |    92 |   -9.218 |     -214.8 |     39 | _3238_/D
