Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/work/runs/RUN_2026-03-17_13-58-12/30-openroad-cts/rns_top_crt.odb'…
Reading design constraints file at 'designs/_shared/ll_policy/constraints.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0094] Found 39 endpoints with setup violations.
[INFO RSZ-0099] Repairing 39 out of 39 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
        0 |       0 |       0 |        0 |      0 |     0 |  -10.527 |     -187.3 |     39 | _3238_/D
       10 |       0 |       2 |       10 |      0 |     1 |   -9.638 |     -185.0 |     39 | _3238_/D
       20 |       0 |       8 |       16 |      0 |     2 |   -8.824 |     -181.7 |     39 | _3238_/D
       30 |       0 |      15 |       20 |      0 |     3 |   -8.552 |     -180.6 |     39 | _3238_/D
       40 |       0 |      18 |       23 |      0 |     8 |   -8.123 |     -179.0 |     39 | _3238_/D
       50 |       0 |      20 |       26 |      0 |    15 |   -8.013 |     -178.6 |     39 | _3238_/D
       60 |       0 |      27 |       28 |      0 |    17 |   -7.975 |     -178.4 |     39 | _3238_/D
       70 |       0 |      27 |       30 |      0 |    26 |   -8.473 |     -180.3 |     39 | _3238_/D
       80 |       0 |      30 |       34 |      0 |    31 |   -8.591 |     -181.1 |     39 | _3238_/D
       86 |       0 |      29 |       33 |      0 |    19 |   -7.836 |     -177.9 |     39 | _3238_/D
       90 |       0 |      31 |       35 |      0 |    19 |   -7.822 |     -177.7 |     39 | _3238_/D
       92 |       0 |      32 |       37 |      0 |    19 |   -7.801 |     -177.5 |     39 | _3238_/D
       94 |       0 |      32 |       37 |      0 |    20 |   -7.801 |     -177.5 |     39 | _3238_/D
       99 |       0 |      32 |       37 |      0 |    22 |   -7.801 |     -177.5 |     39 | _3238_/D
      100 |       0 |      32 |       37 |      0 |    22 |   -7.801 |     -177.5 |     39 | _3238_/D
      110 |       0 |      35 |       43 |      0 |    25 |   -7.801 |     -177.2 |     39 | _3238_/D
      120 |       0 |      41 |       45 |      0 |    28 |   -7.801 |     -175.4 |     39 | _3238_/D
      130 |       0 |      46 |       50 |      0 |    29 |   -7.801 |     -174.5 |     39 | _3238_/D
      140 |       0 |      52 |       54 |      0 |    31 |   -7.801 |     -173.3 |     39 | _3238_/D
      150 |       0 |      55 |       54 |      0 |    38 |   -7.801 |     -173.0 |     39 | _3238_/D
      160 |       0 |      62 |       54 |      0 |    41 |   -7.801 |     -172.3 |     39 | _3238_/D
      170 |       0 |      65 |       60 |      0 |    45 |   -7.801 |     -178.7 |     39 | _3238_/D
      180 |       0 |      71 |       61 |      0 |    48 |   -7.801 |     -177.2 |     39 | _3238_/D
      190 |       0 |      76 |       63 |      0 |    52 |   -7.801 |     -177.0 |     39 | _3238_/D
      197 |       0 |      81 |       63 |      0 |    53 |   -7.801 |     -176.6 |     39 | _3238_/D
      200 |       0 |      82 |       65 |      0 |    53 |   -7.801 |     -176.5 |     39 | _3238_/D
      206 |       0 |      86 |       65 |      0 |    55 |   -7.801 |     -176.4 |     39 | _3238_/D
      210 |       0 |      88 |       67 |      0 |    55 |   -7.801 |     -176.5 |     39 | _3238_/D
      213 |       0 |      88 |       66 |      0 |    55 |   -7.801 |     -176.4 |     39 | _3238_/D
      216 |       0 |      88 |       66 |      0 |    55 |   -7.801 |     -176.4 |     39 | _3238_/D
      220 |       0 |      90 |       66 |      0 |    56 |   -7.801 |     -175.3 |     39 | _3238_/D
      230 |       0 |      96 |       69 |      0 |    59 |   -7.801 |     -174.7 |     39 | _3238_/D
      240 |       0 |     101 |       73 |      0 |    62 |   -7.801 |     -171.0 |     39 | _3238_/D
      250 |       0 |     108 |       73 |      0 |    65 |   -7.801 |     -169.9 |     39 | _3238_/D
      260 |       0 |     115 |       75 |      0 |    67 |   -7.801 |     -167.1 |     39 | _3238_/D
      270 |       0 |     121 |       77 |      0 |    70 |   -7.801 |     -165.0 |     39 | _3238_/D
      280 |       0 |     127 |       81 |      0 |    72 |   -7.801 |     -164.2 |     39 | _3238_/D
      290 |       0 |     136 |       83 |      0 |    72 |   -7.801 |     -162.5 |     39 | _3238_/D
      300 |       0 |     142 |       87 |      0 |    74 |   -7.801 |     -163.8 |     39 | _3238_/D
      310 |       0 |     144 |       94 |      0 |    79 |   -7.801 |     -163.5 |     39 | _3238_/D
      320 |       0 |     150 |       94 |      0 |    83 |   -7.801 |     -162.8 |     39 | _3238_/D
      330 |       0 |     156 |       97 |      0 |    86 |   -7.801 |     -162.6 |     39 | _3238_/D
      340 |       0 |     159 |       97 |      0 |    93 |   -7.801 |     -161.4 |     39 | _3238_/D
      350 |       0 |     164 |       99 |      0 |    97 |   -7.801 |     -161.6 |     39 | _3238_/D
      360 |       0 |     171 |      105 |      0 |    97 |   -7.801 |     -163.8 |     39 | _3238_/D
      367 |       0 |     164 |      105 |      0 |    96 |   -7.801 |     -160.3 |     39 | _3238_/D
      370 |       0 |     166 |      105 |      0 |    96 |   -7.801 |     -159.7 |     39 | _3238_/D
      380 |       0 |     175 |      105 |      0 |    97 |   -7.801 |     -158.8 |     39 | _3238_/D
      390 |       0 |     182 |      108 |      0 |    99 |   -7.801 |     -157.2 |     39 | _3238_/D
      400 |       0 |     190 |      108 |      0 |   101 |   -7.801 |     -156.6 |     39 | _3238_/D
      410 |       0 |     197 |      112 |      0 |   102 |   -7.825 |     -156.1 |     39 | _3238_/D
      420 |       0 |     205 |      114 |      0 |   103 |   -7.825 |     -155.3 |     39 | _3238_/D
      430 |       0 |     211 |      114 |      0 |   107 |   -7.825 |     -155.1 |     39 | _3238_/D
      440 |       0 |     216 |      118 |      0 |   110 |   -7.825 |     -154.7 |     39 | _3238_/D
      450 |       0 |     220 |      124 |      0 |   113 |   -7.825 |     -155.1 |     39 | _3238_/D
      452 |       0 |     196 |      117 |      0 |   101 |   -7.801 |     -156.2 |     39 | _3238_/D
      460 |       0 |     201 |      117 |      0 |   103 |   -7.801 |     -155.8 |     39 | _3238_/D
      470 |       0 |     207 |      119 |      0 |   106 |   -7.801 |     -156.1 |     39 | _3238_/D
      476 |       0 |     207 |      120 |      0 |   103 |   -7.801 |     -155.6 |     39 | _3238_/D
      480 |       0 |     209 |      120 |      0 |   104 |   -7.801 |     -156.0 |     39 | _3238_/D
      490 |       0 |     214 |      126 |      0 |   106 |   -7.801 |     -155.9 |     39 | _3238_/D
      490 |       0 |     213 |      126 |      0 |   105 |   -7.801 |     -155.2 |     39 | _3238_/D
      494 |       0 |     215 |      126 |      0 |   105 |   -7.801 |     -155.1 |     39 | _3238_/D
      499 |       0 |     215 |      126 |      0 |   105 |   -7.801 |     -155.1 |     39 | _3238_/D
