net,length_um
net36,2.1746mm
_0383_,1.03026mm
clknet_0_clk,712.76µm
_0553_,405.885µm
_0911_,366.16µm
clknet_3_6__leaf_clk,358.38µm
_0912_,343.68µm
Encode_EN,329.725µm
clknet_3_2__leaf_clk,326.92µm
_0187_,317.24µm
OpSel_reg\[0\],309.035µm
clknet_3_0__leaf_clk,304.045µm
clknet_3_3__leaf_clk,302.06µm
clknet_3_1__leaf_clk,278.72µm
clknet_3_7__leaf_clk,268.475µm
a_r3\[3\],268.025µm
_0910_,263.02µm
clk,247.95µm
_0185_,239.1µm
B_reg\[1\],231.83µm
_0188_,228.1µm
A_reg\[0\],206.77µm
A_reg\[11\],203.225µm
clknet_3_4__leaf_clk,202.17µm
B_reg\[2\],200.68µm
clknet_3_5__leaf_clk,200.32µm
B_reg\[4\],199.65µm
net34,191.14µm
net33,189.72µm
_0186_,189.27µm
A_reg\[3\],187.54µm
A_reg\[1\],186.015µm
CRT_Start,185.615µm
A_reg\[9\],185.18µm
A_reg\[4\],181.14µm
A_reg\[6\],171.94µm
B_reg\[5\],170.245µm
A_reg\[10\],168.36µm
A_reg\[2\],167.4µm
b_r1\[0\],166.14µm
_0184_,162.42µm
a_r3\[2\],161.14µm
B_reg\[3\],158.56µm
A_reg\[8\],157.135µm
_0554_,156.3µm
A_reg\[7\],153.98µm
a_r3\[0\],149.31µm
net17,144.14µm
net80,143.92µm
B_reg\[8\],139.82µm
a_r1\[0\],138.675µm
B_reg\[6\],134.19µm
net78,132.78µm
a_r2\[0\],130.68µm
net229,128.22µm
_0892_,126.16µm
B_reg\[7\],124.955µm
net9,122.82µm
A_reg\[13\],117.6µm
net10,116.88µm
net11,116.32µm
_0604_,114.1µm
net8,113.54µm
b_r3\[1\],109.54µm
_0903_,109.3µm
A_reg\[5\],107.18µm
a_r3\[1\],105.995µm
_0574_,104.35µm
net12,104.14µm
A_reg\[15\],103.23µm
net37,102.52µm
_0778_,100.22µm
a_r1\[1\],98.48µm
B_reg\[0\],97.12µm
a_r1\[2\],95.885µm
b_r1\[2\],95.33µm
_1354_,94.18µm
b_r0\[0\],93.98µm
b_r2\[2\],93.26µm
_0564_,92.35µm
net177,90.79µm
_0889_,90.26µm
net35,89.96µm
_0900_,89.25µm
net86,87.93µm
b_r3\[0\],87.695µm
_0628_,87.24µm
_0899_,86.52µm
_0901_,85.84µm
_0743_,84.825µm
_0580_,84.7µm
_0469_,84.64µm
_0907_,84.28µm
B_reg\[9\],84.22µm
_0890_,84.2µm
net218,84.2µm
net13,84.12µm
net79,83.98µm
