Metric,Value
design__instance__count,5301
design__instance__area,23204.8
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0370364747941494
power__switching__total,0.04035435989499092
power__leakage__total,2.8655129824528558E-8
power__total,0.07739086449146271
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.12362340667725893
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.11806596312571756
timing__hold__ws__corner:nom_tt_025C_1v80,0.26220604207812
timing__setup__ws__corner:nom_tt_025C_1v80,1.8486075415897882
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.262206
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,1.848608
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.13192529386771626
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.12404620737256943
timing__hold__ws__corner:nom_ss_100C_1v60,0.636810511236623
timing__setup__ws__corner:nom_ss_100C_1v60,-8.118485669074259
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-155.6848916072577
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-8.118485669074259
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.636810
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,39
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-8.118485
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,39
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.11912153545180916
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.11474153896233447
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12881024389491116
timing__setup__ws__corner:nom_ff_n40C_1v95,5.630321257474161
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.128810
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,5.630321
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.11671426655500783
clock__skew__worst_setup,0.11314578760833417
timing__hold__ws,0.1276472297325728
timing__setup__ws,-8.221849211947022
timing__hold__tns,0.0
timing__setup__tns,-160.0035846882033
timing__hold__wns,0
timing__setup__wns,-8.221849211947022
timing__hold_vio__count,0
timing__hold_r2r__ws,0.127647
timing__hold_r2r_vio__count,0
timing__setup_vio__count,117
timing__setup_r2r__ws,-8.221849
timing__setup_r2r_vio__count,117
design__die__bbox,0.0 0.0 431.27 441.99
design__core__bbox,5.52 10.88 425.5 429.76
design__io,56
design__die__area,190617
design__core__area,175921
design__instance__count__stdcell,5301
design__instance__area__stdcell,23204.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.131904
design__instance__utilization__stdcell,0.131904
design__instance__count__class:inverter,59
design__instance__count__class:sequential_cell,110
design__instance__count__class:multi_input_combinational_cell,1549
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,14460
design__instance__count__class:tap_cell,2496
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,54
design__io__hpwl,7257526
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,41272.5
design__violations,0
design__instance__count__class:timing_repair_buffer,168
design__instance__count__class:clock_buffer,9
design__instance__count__class:clock_inverter,7
design__instance__count__setup_buffer,115
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,903
antenna_diodes_count,5
route__net,1932
route__net__special,2
route__drc_errors__iter:1,450
route__wirelength__iter:1,47047
route__drc_errors__iter:2,117
route__wirelength__iter:2,46676
route__drc_errors__iter:3,104
route__wirelength__iter:3,46629
route__drc_errors__iter:4,2
route__wirelength__iter:4,46606
route__drc_errors__iter:5,0
route__wirelength__iter:5,46604
route__drc_errors,0
route__wirelength,46604
route__vias,14148
route__vias__singlecut,14148
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,2174.6
timing__unannotated_net__count__corner:nom_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.12090447041305516
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.11628677516728564
timing__hold__ws__corner:min_tt_025C_1v80,0.26066671781094214
timing__setup__ws__corner:min_tt_025C_1v80,1.9189832488435083
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.260667
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,1.918983
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,0
design__max_fanout_violation__count__corner:min_ss_100C_1v60,0
design__max_cap_violation__count__corner:min_ss_100C_1v60,0
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.1285849102479028
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.12189409548961891
timing__hold__ws__corner:min_ss_100C_1v60,0.634139980697662
timing__setup__ws__corner:min_ss_100C_1v60,-8.01329247860517
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-151.46756455586248
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-8.01329247860517
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.634140
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,39
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-8.013292
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,39
timing__unannotated_net__count__corner:min_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,0
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.11671426655500783
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.11314578760833417
timing__hold__ws__corner:min_ff_n40C_1v95,0.1276472297325728
timing__setup__ws__corner:min_ff_n40C_1v95,5.674696873023456
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.127647
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,5.674697
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,0
design__max_fanout_violation__count__corner:max_tt_025C_1v80,0
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.12697633581760545
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.12043662241724647
timing__hold__ws__corner:max_tt_025C_1v80,0.2635667869667363
timing__setup__ws__corner:max_tt_025C_1v80,1.7788464538198834
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.263567
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,1.778847
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,0
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.13588362764051287
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.12697192268095775
timing__hold__ws__corner:max_ss_100C_1v60,0.6390269605456702
timing__setup__ws__corner:max_ss_100C_1v60,-8.221849211947022
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-160.0035846882033
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-8.221849211947022
