Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/work/runs/RUN_2026-03-17_14-13-35/30-openroad-cts/rns_top_crt.odb'…
Reading design constraints file at 'designs/_shared/ll_policy/constraints.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0094] Found 39 endpoints with setup violations.
[INFO RSZ-0099] Repairing 39 out of 39 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
        0 |       0 |       0 |        0 |      0 |     0 |  -12.122 |     -250.6 |     39 | _3238_/D
       10 |       0 |       2 |        9 |      0 |     1 |  -11.307 |     -248.6 |     39 | _3238_/D
       20 |       0 |       8 |       14 |      0 |     3 |  -10.335 |     -244.7 |     39 | _3238_/D
       30 |       0 |      13 |       17 |      0 |     6 |   -9.778 |     -242.5 |     39 | _3238_/D
       40 |       0 |      13 |       21 |      0 |    14 |   -9.621 |     -241.9 |     39 | _3238_/D
       50 |       0 |      15 |       21 |      0 |    22 |   -9.864 |     -242.8 |     39 | _3238_/D
       60 |       0 |      17 |       25 |      0 |    28 |  -10.217 |     -244.5 |     39 | _3238_/D
       69 |       0 |      15 |       24 |      0 |    12 |   -9.516 |     -241.5 |     39 | _3238_/D
       70 |       0 |      15 |       24 |      0 |    12 |   -9.516 |     -241.5 |     39 | _3238_/D
       80 |       0 |      19 |       36 |      0 |    12 |   -9.415 |     -240.9 |     39 | _3238_/D
       81 |       0 |      19 |       38 |      0 |    12 |   -9.377 |     -241.3 |     39 | _3238_/D
       84 |       0 |      19 |       38 |      0 |    12 |   -9.377 |     -241.3 |     39 | _3238_/D
       88 |       0 |      20 |       38 |      0 |    12 |   -9.377 |     -241.3 |     39 | _3238_/D
       90 |       0 |      20 |       38 |      0 |    13 |   -9.377 |     -241.3 |     39 | _3238_/D
      100 |       0 |      23 |       44 |      0 |    16 |   -9.377 |     -240.9 |     39 | _3238_/D
      110 |       0 |      29 |       48 |      0 |    18 |   -9.377 |     -239.1 |     39 | _3238_/D
      120 |       0 |      34 |       53 |      0 |    19 |   -9.377 |     -238.5 |     39 | _3238_/D
      130 |       0 |      38 |       55 |      0 |    24 |   -9.377 |     -237.6 |     39 | _3238_/D
      140 |       0 |      42 |       59 |      0 |    28 |   -9.377 |     -237.5 |     39 | _3238_/D
      150 |       0 |      45 |       63 |      0 |    33 |   -9.377 |     -237.2 |     39 | _3238_/D
      160 |       0 |      50 |       65 |      0 |    37 |   -9.377 |     -237.2 |     39 | _3238_/D
      170 |       0 |      54 |       74 |      0 |    39 |   -9.377 |     -243.7 |     39 | _3238_/D
      180 |       0 |      61 |       78 |      0 |    40 |   -9.377 |     -243.3 |     39 | _3238_/D
      190 |       0 |      64 |       87 |      0 |    43 |   -9.377 |     -242.9 |     39 | _3238_/D
      200 |       0 |      71 |       92 |      0 |    44 |   -9.377 |     -242.8 |     39 | _3238_/D
      210 |       0 |      79 |       96 |      0 |    45 |   -9.377 |     -242.2 |     39 | _3238_/D
      216 |       0 |      75 |       93 |      0 |    44 |   -9.377 |     -242.3 |     39 | _3238_/D
      220 |       0 |      76 |       99 |      0 |    44 |   -9.377 |     -242.2 |     39 | _3238_/D
      230 |       0 |      82 |      105 |      0 |    45 |   -9.377 |     -242.8 |     39 | _3238_/D
      240 |       0 |      89 |      105 |      0 |    48 |   -9.377 |     -242.4 |     39 | _3238_/D
      246 |       0 |      93 |      107 |      0 |    48 |   -9.377 |     -242.0 |     39 | _3238_/D
      250 |       0 |      95 |      107 |      0 |    49 |   -9.377 |     -242.0 |     39 | _3238_/D
      251 |       0 |      95 |      107 |      0 |    49 |   -9.377 |     -242.0 |     39 | _3238_/D
      254 |       0 |      95 |      107 |      0 |    49 |   -9.377 |     -242.0 |     39 | _3238_/D
      260 |       0 |      99 |      107 |      0 |    50 |   -9.377 |     -240.7 |     39 | _3238_/D
      270 |       0 |     104 |      110 |      0 |    54 |   -9.377 |     -238.5 |     39 | _3238_/D
      280 |       0 |     111 |      112 |      0 |    56 |   -9.377 |     -236.4 |     39 | _3238_/D
      290 |       0 |     117 |      115 |      0 |    59 |   -9.377 |     -233.6 |     39 | _3238_/D
      300 |       0 |     124 |      118 |      0 |    61 |   -9.377 |     -231.4 |     39 | _3238_/D
      310 |       0 |     128 |      120 |      0 |    66 |   -9.377 |     -229.6 |     39 | _3238_/D
      320 |       0 |     134 |      122 |      0 |    69 |   -9.377 |     -228.7 |     39 | _3238_/D
      330 |       0 |     136 |      130 |      0 |    73 |   -9.377 |     -228.8 |     39 | _3238_/D
      340 |       0 |     142 |      134 |      0 |    75 |   -9.377 |     -227.8 |     39 | _3238_/D
      350 |       0 |     147 |      138 |      0 |    78 |   -9.377 |     -228.7 |     39 | _3238_/D
      360 |       0 |     154 |      140 |      0 |    80 |   -9.377 |     -227.9 |     39 | _3238_/D
      370 |       0 |     163 |      140 |      0 |    81 |   -9.377 |     -226.9 |     39 | _3238_/D
      380 |       0 |     165 |      142 |      0 |    88 |   -9.377 |     -227.3 |     39 | _3238_/D
      390 |       0 |     169 |      147 |      0 |    92 |   -9.377 |     -230.1 |     39 | _3238_/D
      400 |       0 |     176 |      149 |      0 |    94 |   -9.377 |     -228.7 |     39 | _3238_/D
      410 |       0 |     179 |      159 |      0 |    96 |   -9.377 |     -230.9 |     39 | _3238_/D
      420 |       0 |     183 |      165 |      0 |    99 |   -9.377 |     -230.9 |     39 | _3238_/D
      430 |       0 |     190 |      171 |      0 |    99 |   -9.377 |     -230.7 |     39 | _3238_/D
      436 |       0 |     173 |      157 |      0 |    91 |   -9.377 |     -227.1 |     39 | _3238_/D
      440 |       0 |     176 |      157 |      0 |    91 |   -9.377 |     -226.3 |     39 | _3238_/D
      450 |       0 |     185 |      157 |      0 |    92 |   -9.377 |     -225.3 |     39 | _3238_/D
      460 |       0 |     192 |      160 |      0 |    94 |   -9.377 |     -224.0 |     39 | _3238_/D
      470 |       0 |     199 |      162 |      0 |    96 |   -9.377 |     -223.3 |     39 | _3238_/D
      480 |       0 |     209 |      162 |      0 |    96 |   -9.401 |     -222.2 |     39 | _3238_/D
      490 |       0 |     215 |      164 |      0 |    99 |   -9.401 |     -222.1 |     39 | _3238_/D
      500 |       0 |     221 |      168 |      0 |   101 |   -9.401 |     -222.0 |     39 | _3238_/D
      510 |       0 |     229 |      168 |      0 |   103 |   -9.401 |     -221.8 |     39 | _3238_/D
      520 |       0 |     234 |      170 |      0 |   107 |   -9.410 |     -221.8 |     39 | _3238_/D
      521 |       0 |     206 |      166 |      0 |    96 |   -9.377 |     -223.0 |     39 | _3238_/D
      530 |       0 |     210 |      173 |      0 |    97 |   -9.377 |     -224.9 |     39 | _3238_/D
