Metric,Value
design__instance__count,5177
design__instance__area,20303.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0020629181526601315
power__switching__total,0.00263582868501544
power__leakage__total,2.38372361849315E-8
power__total,0.004698770586401224
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.12455554995509703
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.12010072443164628
timing__hold__ws__corner:nom_tt_025C_1v80,0.2584311726653314
timing__setup__ws__corner:nom_tt_025C_1v80,149.29404268741038
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.258431
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,149.294037
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.13263106266443098
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.12633887349441264
timing__hold__ws__corner:nom_ss_100C_1v60,0.6304915656909545
timing__setup__ws__corner:nom_ss_100C_1v60,137.01914657375727
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.630492
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,137.019150
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.12017555346562234
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.11675259700601708
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12641996141086703
timing__setup__ws__corner:nom_ff_n40C_1v95,153.40745996618926
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.126420
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,153.407455
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.11723296276678244
clock__skew__worst_setup,0.11430716419166491
timing__hold__ws,0.12552984007569945
timing__setup__ws,136.90479182262987
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.125530
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,136.904785
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 431.27 441.99
design__core__bbox,5.52 10.88 425.5 429.76
design__io,56
design__die__area,190617
design__core__area,175921
design__instance__count__stdcell,5177
design__instance__area__stdcell,20303.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.115411
design__instance__utilization__stdcell,0.115411
design__instance__count__class:inverter,59
design__instance__count__class:sequential_cell,110
design__instance__count__class:multi_input_combinational_cell,1549
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,14690
design__instance__count__class:tap_cell,2496
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,54
design__io__hpwl,7257526
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,39023.2
design__violations,0
design__instance__count__class:timing_repair_buffer,53
design__instance__count__class:clock_buffer,9
design__instance__count__class:clock_inverter,7
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,894
antenna_diodes_count,2
route__net,1817
route__net__special,2
route__drc_errors__iter:1,437
route__wirelength__iter:1,45121
route__drc_errors__iter:2,149
route__wirelength__iter:2,44765
route__drc_errors__iter:3,117
route__wirelength__iter:3,44696
route__drc_errors__iter:4,3
route__wirelength__iter:4,44684
route__drc_errors__iter:5,0
route__wirelength__iter:5,44683
route__drc_errors,0
route__wirelength,44683
route__vias,13555
route__vias__singlecut,13555
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,2131.99
timing__unannotated_net__count__corner:nom_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.12127242608939805
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.11749464234108739
timing__hold__ws__corner:min_tt_025C_1v80,0.2572091501475653
timing__setup__ws__corner:min_tt_025C_1v80,149.35888681930976
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.257209
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,149.358887
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,7
