net,length_um
net36,2.145155mm
_0383_,1.025mm
clknet_0_clk,734.04µm
_0553_,424.04µm
_0911_,369.76µm
_0912_,363.845µm
clknet_3_2__leaf_clk,346.2µm
clknet_3_4__leaf_clk,344.96µm
clknet_3_5__leaf_clk,339.24µm
Encode_EN,330.32µm
_0187_,310.36µm
clknet_3_3__leaf_clk,307.99µm
OpSel_reg\[0\],300.935µm
clknet_3_0__leaf_clk,297.505µm
clknet_3_1__leaf_clk,277.94µm
a_r3\[3\],269.87µm
clknet_3_6__leaf_clk,259.115µm
clknet_3_7__leaf_clk,255.155µm
_0910_,250.11µm
clk,248.29µm
_0188_,238.04µm
_0185_,237.94µm
B_reg\[1\],236.73µm
B_reg\[2\],211.75µm
a_r3\[0\],211.12µm
A_reg\[6\],203.545µm
A_reg\[0\],196.095µm
CRT_Start,195.655µm
B_reg\[4\],193.92µm
net34,190.22µm
net33,189.72µm
A_reg\[11\],189.265µm
A_reg\[13\],188.92µm
_0186_,188.9µm
A_reg\[1\],185.54µm
B_reg\[5\],176.97µm
A_reg\[2\],175.14µm
A_reg\[3\],174.075µm
a_r3\[1\],173.29µm
A_reg\[10\],172.98µm
A_reg\[4\],166.62µm
A_reg\[8\],163.26µm
_0184_,161.96µm
b_r1\[0\],160.34µm
A_reg\[9\],159.73µm
_0554_,158.08µm
B_reg\[3\],157.415µm
b_r3\[3\],155.02µm
A_reg\[12\],152.43µm
a_r3\[2\],144.09µm
A_reg\[15\],143.535µm
a_r1\[0\],142.73µm
net17,141.76µm
B_reg\[7\],139.255µm
B_reg\[8\],136.17µm
a_r2\[0\],135.5µm
B_reg\[6\],135.22µm
b_r3\[2\],135.22µm
A_reg\[14\],134.76µm
A_reg\[7\],133.24µm
net9,120.1µm
net10,118.71µm
B_reg\[12\],117.15µm
net11,115.76µm
net8,114.22µm
_0604_,113.76µm
net12,109.58µm
_0892_,107.7µm
b_r3\[1\],103.44µm
A_reg\[5\],102.295µm
_0903_,101.775µm
net37,101.72µm
_0580_,97.86µm
b_r1\[2\],96.905µm
b_r2\[2\],96.47µm
a_r1\[1\],95.94µm
B_reg\[0\],95.38µm
b_r0\[0\],95.19µm
_0778_,94.52µm
_1354_,94.18µm
_0628_,93.08µm
net35,92.6µm
_0574_,91.94µm
_0564_,91.77µm
_0890_,90.14µm
_0901_,88.82µm
a_r1\[2\],88.7µm
B_reg\[10\],88.59µm
b_r0\[1\],86.54µm
_0899_,86.18µm
B_reg\[14\],85.9µm
net13,85.6µm
_0743_,85.285µm
_0891_,85.14µm
B_reg\[9\],84.93µm
_0889_,84.58µm
_0900_,84.14µm
OpSel_reg\[1\],83.8µm
net1,83.8µm
B_reg\[11\],83.66µm
_0573_,82.88µm
_0732_,82.84µm
_0907_,81.7µm
_0902_,80.48µm
_1546_,80.36µm
b_r2\[0\],79.16µm
B_reg\[13\],77.36µm
_1352_,76.52µm
a_r2\[1\],76.17µm
_0561_,76.08µm
_0894_,74.96µm
b_r2\[1\],74.74µm
net52,74.1µm
_0469_,73.58µm
_0673_,73.12µm
_0624_,70.96µm
u_crt.start_d,70.6µm
b_r3\[0\],70.58µm
